word,weight;
sentuh,-1.0;
anjem,5.0;
jemput,5.0;
nelangsa,-3.0;
remuk redam,-5.0;
jastip,5.0;
segan,-2.0;
gemar,-1.0;
sesal,-4.0;
hayat,-2.0;
absorpsi,-1.0;
linu,-4.0;
kamar,4.0;
oper,1.0;
antar,4.0;
salah benang,-1.0;
sakit,-5.0;
siput,-4.0;
lara,-5.0;
zuhud,-1.0;
cedera,-4.0;
ingkar,-4.0;
maaf,-3.0;
khianat,-4.0;
celaka,-5.0;
tidak,-2.0;
borong,-1.0;
lever,-2.0;
kasihan,-3.0;
tidak mau,-4.0;
saja,-1.0;
pulas,-1.0;
abis,-2.0;
coba,-1.0;
kangen,-3.0;
mau,-1.0;
anda,-1.0;
mari,-1.0;
benar,-1.0;
yaudah,-4.0;
tidak tahu,-1.0;
bahak,-2.0;
atuh,-1.0;
tarik hati,-1.0;
cedayam,-2.0;
kece,-3.0;
makan,-1.0;
belum,-1.0;
malam,1.0;
cekau,-2.0;
duga,-1.0;
suara,-1.0;
prediksi,-1.0;
bunyi,-1.0;
terka,-1.0;
taksir,-1.0;
antisipasi,-1.0;
nang,-5.0;
rompok,-2.0;
griya,-1.0;
gubuk,-2.0;
anjir,-3.0;
putus jiwa,-5.0;
dari dunia,-5.0;
putus nyawa,-5.0;
buang nyawa,-5.0;
hilang hayat,-4.0;
putus nafas,-4.0;
kojor,-3.0;
putih tulang,-2.0;
buntu,-3.0;
kalang tanah,-2.0;
koit,-5.0;
putus usia,-3.0;
buntet,-2.0;
tamat riwayat,-3.0;
hilang nyawa,-5.0;
males,-4.0;
asih,-1.0;
kasih sayang,-1.0;
kagum,-1.0;
dendam berahi,-4.0;
rindu,-3.0;
afeksi,-2.0;
cinta kasih,-1.0;
renjana,-2.0;
pagina,-2.0;
tresna,-1.0;
filantropi,-1.0;
cintrong,-1.0;
cetus,-1.0;
rintis,-2.0;
kronologi,-1.0;
jalan buntu,-4.0;
jalan bebas hambat,-1.0;
purwa,-2.0;
umur,-3.0;
bangkot,-4.0;
sepuh,-3.0;
usia,-3.0;
lepra,-5.0;
bau tanah,-4.0;
purba,-3.0;
gaco,-2.0;
tambat hati,-2.0;
tayib,-1.0;
tayibah,-1.0;
necis,-1.0;
estetis,-1.0;
baper,-4.0;
perfek,-1.0;
tolong,-2.0;
sayid,-1.0;
radang,-4.0;
didih,-4.0;
ngantuk,-2.0;
sirap hati,-2.0;
rampang,-2.0;
hati,-4.0;
telinga merah,-3.0;
merah telinga,-3.0;
mencak mencak,-5.0;
tidak ada,-3.0;
manjur,-1.0;
mujarab,-1.0;
beber,-2.0;
singkap,-3.0;
tangkis,-3.0;
mending,-3.0;
akibat,-3.0;
satir,-2.0;
nyanyi,-2.0;
sibuk,-2.0;
gara,-4.0;
sedikit,-4.0;
ilang,-5.0;
kepeng,-2.0;
bodo,-5.0;
air,-1.0;
suri,-1.0;
ihh,-5.0;
asasi,-3.0;
nenes,-2.0;
tumpu,-3.0;
fondasi,-3.0;
beliin,-1.0;
sekam,-3.0;
maafin,-3.0;
mahir,-1.0;
galak panas manasi,-3.0;
marah,-5.0;
ampun,-3.0;
balik akal,-4.0;
masuk akal,-4.0;
ganggu jiwa,-4.0;
majenun,-2.0;
gelo,-2.0;
gila gila,-4.0;
kalap,-3.0;
sedeng,-2.0;
ubah akal,-2.0;
seram,-5.0;
sakit jiwa,-4.0;
gendeng,-2.0;
ubah ingat,-3.0;
sinting,-5.0;
gila,-4.0;
sakit ingat,-4.0;
sesat akal,-2.0;
duh,-4.0;
memang,-1.0;
hujan,-2.0;
aduh,-3.0;
cerita khayal,-2.0;
typo,-2.0;
langkah,-1.0;
isap jempol,-3.0;
engah,-4.0;
mafhum,-1.0;
fiksi,-2.0;
omong kosong,-4.0;
balas,-3.0;
profit,-1.0;
waris,-2.0;
selisih,-4.0;
senjang,-4.0;
bareng,-3.0;
ekstasi,-3.0;
lapar,-3.0;
bandel,-5.0;
ngaku,-3.0;
telat,-5.0;
kopong,-4.0;
ngerti,-1.0;
dunia,-2.0;
nol,-3.0;
cari,-2.0;
sorry,-4.0;
ana,-3.0;
bastar,-2.0;
tega,-5.0;
denyut,-3.0;
kayak,-3.0;
ringan tangan,-1.0;
gelora,-2.0;
energik,-1.0;
bara,-3.0;
kobar kobar,-2.0;
nyala,-2.0;
mentolo,-2.0;
sungguh sungguh,-1.0;
tren,-2.0;
sembur,-3.0;
imbas,-4.0;
alir udara,-1.0;
lesit,-1.0;
rahayu,-2.0;
gusar,-3.0;
curat,-1.0;
parah,-5.0;
topan,-3.0;
tembis,-3.0;
damprat,-4.0;
suak,-2.0;
bongsor,-2.0;
bias,-2.0;
rajam,-4.0;
rantus,-3.0;
gentas,-2.0;
tidak usah,2.0;
tanya,-1.0;
lelah,-3.0;
bosan,-4.0;
susah hati,-5.0;
kabung,-5.0;
receh,-4.0;
muram durja,-5.0;
lara lara,-4.0;
senang,-1.0;
sungkawa,-3.0;
susah,-5.0;
peluk,-3.0;
bunuh diri,-5.0;
bunuh,-5.0;
menep,-3.0;
obsesi,-2.0;
dekap,-2.0;
sengsara,-5.0;
buru buru,-3.0;
kencang,-3.0;
kilat,-2.0;
akas,-2.0;
dahulu,-1.0;
adang,-3.0;
suruh,-2.0;
terampil,-3.0;
pesat,-2.0;
sebat,-3.0;
sput,-2.0;
filsafat,-3.0;
dogma,-3.0;
imut,-1.0;
doktrin,-3.0;
dominan,-2.0;
masif,-3.0;
lihat,-2.0;
keras tulang,-2.0;
tangguh,-2.0;
keseser,-4.0;
maksa,-5.0;
tanduk,-2.0;
luput,-3.0;
jaman,-2.0;
geliat,-3.0;
tumpas,-4.0;
keok,-2.0;
cecer,-3.0;
bangan,-3.0;
pengaruh,-2.0;
lipur,-2.0;
bedegap,-2.0;
lengan,-2.0;
gelibat,-2.0;
suka cita,-1.0;
pacar,-3.0;
semangat,-1.0;
bahagia,-1.0;
desir,-2.0;
suntuk,-4.0;
adik,-1.0;
block,-4.0;
pening,-3.0;
apa,-3.0;
