created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Sep 01 23:59:39 +0000 2023;1,69776E+18;-ness buat penikmat seblak nih, menurut kalian mending seblak gendhis, boom, atau bageur?;0;8;0;1;in;1,18728E+18;1,69776E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697761167832408417
Fri Sep 01 23:53:31 +0000 2023;1,69776E+18;-ness lagi banyak berita pencurian laptop, plisss ada tips gak si nyimpen barang2 berharga di koss?;0;2;0;6;in;1,18728E+18;1,69776E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697759620583002587
Fri Sep 01 23:45:31 +0000 2023;1,69776E+18;#NAME?;0;3;0;0;in;1,18728E+18;1,69776E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697757608600543549
Fri Sep 01 23:39:25 +0000 2023;1,69776E+18;@unnesmenfess Aih mauu tapi ke unnes Selasaaa😢;0;0;0;0;in;1,1333E+18;1,69765E+18;fanfaaannn;https://twitter.com/fanfaaannn/status/1697756073317544113
Fri Sep 01 23:26:07 +0000 2023;1,69775E+18;#NAME?;0;3;0;0;in;1,18728E+18;1,69775E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697752727349285031
Fri Sep 01 23:24:20 +0000 2023;1,69775E+18;#NAME?;0;5;0;9;in;1,18728E+18;1,69775E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697752279020110151
Fri Sep 01 22:56:41 +0000 2023;1,69775E+18;#NAME?;0;6;0;1;in;1,18728E+18;1,69775E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697745320132886643
Fri Sep 01 22:51:24 +0000 2023;1,69774E+18;#NAME?;0;5;0;0;in;1,18728E+18;1,69774E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697743990412726601
Fri Sep 01 22:45:15 +0000 2023;1,69774E+18;-ness jam seginian, warung yg udah buka di sekitaran cempaka dimana ya? warjo dah buka blm ya?;0;1;0;0;in;1,18728E+18;1,69774E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697742441309507650
Fri Sep 01 22:43:48 +0000 2023;1,69774E+18;@unnesmenfess dm kak;0;1;0;0;tr;1,21707E+18;1,69774E+18;ahnapp;https://twitter.com/ahnapp/status/1697742079584354644
Fri Sep 01 22:42:40 +0000 2023;1,69774E+18;#NAME?;0;10;0;2;in;1,18728E+18;1,69774E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697741794157715811
Fri Sep 01 22:39:14 +0000 2023;1,69774E+18;@unnesmenfess Sering ketemu sama adik2 gemass maba ini yg jalan jejer 3 sambil hahahihi padahal jalanan unnes skrg rame padet bgt, ya tolong saling ngerti saja dikadik;0;0;0;5;in;1,08907E+18;1,69763E+18;__anothersilv;https://twitter.com/__anothersilv/status/1697740928595939754
Fri Sep 01 22:38:12 +0000 2023;1,69774E+18;#NAME?;0;1;0;1;in;1,18728E+18;1,69774E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697740670109389135
Fri Sep 01 22:36:20 +0000 2023;1,69774E+18;  Makanan sekitar UNNES;0;0;0;0;in;1,12121E+18;1,69774E+18;estehoci;https://twitter.com/estehoci/status/1697740199894438335
Fri Sep 01 22:36:15 +0000 2023;1,69774E+18;@unnesmenfess Oh mandang dia dari fakultas apa gitu ya atau emang gak bisa nerima apa adanya?:v;0;0;0;1;in;1,66389E+18;1,69774E+18;ropik690;https://twitter.com/ropik690/status/1697740177656230082
Fri Sep 01 22:34:45 +0000 2023;1,69774E+18;tapih emang cara cowo fbs kalo pdktan tuh unik gitu ky ada unsur seni2nya angjay, kyyyy lo kyottt banget oemjih, mw blikan gk? -ness;1;8;0;1;in;1,18728E+18;1,69774E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697739800764379152
Fri Sep 01 22:32:48 +0000 2023;1,69774E+18;-ness titipan, info sewa motor buat pagi ini dongg secepatnya yaaaa https://t.co/xQRtZsPRys;0;3;0;1;in;1,18728E+18;1,69774E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697739311146520717
Fri Sep 01 22:05:00 +0000 2023;1,69773E+18;jogging bareng yuk, aku suntuk di kosan pengen menghirup udara segar. btw aku cewe -ness;0;5;0;1;in;1,18728E+18;1,69773E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697732313273315518
Fri Sep 01 21:55:29 +0000 2023;1,69773E+18;-ness bagi bagi info tentang cpns dong, buat lulusan kecantikan apa ya?;0;0;0;1;in;1,18728E+18;1,69773E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697729918296096832
Fri Sep 01 21:46:38 +0000 2023;1,69773E+18;printilan bumbu masaknyabgratis yaaa, maaf lupa bilang😭 -ness;0;14;0;1;in;1,18728E+18;1,69773E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697727692492390524
Fri Sep 01 21:45:06 +0000 2023;1,69773E+18;@unnesmenfess apa yang gratis;0;0;0;0;in;1,21707E+18;1,69773E+18;ahnapp;https://twitter.com/ahnapp/status/1697727305756635496
Fri Sep 01 21:42:16 +0000 2023;1,69773E+18;@unnesmenfess Mauuuu;0;0;0;0;und;1,66389E+18;1,69773E+18;ropik690;https://twitter.com/ropik690/status/1697726592238436700
Fri Sep 01 21:41:38 +0000 2023;1,69773E+18;maap lupaa ini gratis yaaa yuk diambil di kosku -ness;0;6;0;3;in;1,18728E+18;1,69773E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697726432980726087
Fri Sep 01 21:41:05 +0000 2023;1,69773E+18;di u -ness kalo cewe mau jogging pagi sendirian yg oke jam berapa dan kemana ya? timakasii.;0;5;0;5;in;1,18728E+18;1,69773E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697726294002373084
Fri Sep 01 21:40:42 +0000 2023;1,69773E+18;@unnesmenfess Mau tapi langsung pc wa aja gimana kak? https://t.co/TSQfFwlFwi;0;0;0;0;in;1,66389E+18;1,69772E+18;ropik690;https://twitter.com/ropik690/status/1697726197755699254
Fri Sep 01 21:39:48 +0000 2023;1,69773E+18;@unnesmenfess Gratis ga kak;0;0;0;0;tl;1,66389E+18;1,69772E+18;ropik690;https://twitter.com/ropik690/status/1697725970403533221
Fri Sep 01 21:34:37 +0000 2023;1,69772E+18;-ness apakah ada yg mau perintilan bumbu masak ini? ambil skrg yo dikosanku maks bgt jam 7 karna sender mau pulang https://t.co/4DQ0e8YavQ;1;15;0;0;in;1,18728E+18;1,69772E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697724665991688334
Fri Sep 01 21:32:04 +0000 2023;1,69772E+18;-ness update rupa pelaku https://t.co/bf8iBR6agX;0;4;10;69;in;1,18728E+18;1,69772E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697724026255556806
Fri Sep 01 21:17:57 +0000 2023;1,69772E+18;pelakunya, terima kasih 🙏;0;0;0;5;in;1,18728E+18;1,69772E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697720472891531542
Fri Sep 01 21:17:57 +0000 2023;1,69772E+18;" WARNING KEMALINGAN ""  -ness DICARI ORANG DENGAN CIRI CIRI SEPERTI INI, pelaku maling mencuri 1 Laptop Asus + Dompet kulit hitam + Kacamata di Insta Kost (Kost Putri) gang setanjung pada pukul 02.00 dini hari. Barangkali ada warga unnes bisa bantu untuk mencari  (cont..) https://t.co/rBFxPUB7z0""";6;6;45;189;in;1,18728E+18;1,69772E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697720470966247709
Fri Sep 01 19:31:08 +0000 2023;1,69769E+18;-ness minta tolong kalo ada yg liat yaa guyss :( https://t.co/0QA5SpcqbC;0;0;1;3;in;1,18728E+18;1,69769E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697693592515645719
Fri Sep 01 19:14:24 +0000 2023;1,69769E+18;UNNES Night  #unnes https://t.co/RXseCWGZQb;0;0;0;1;en;1,07229E+18;1,69769E+18;FWasaga;https://twitter.com/FWasaga/status/1697689379677016495
Fri Sep 01 19:07:51 +0000 2023;1,69769E+18;#NAME?;0;1;0;5;in;1,18728E+18;1,69769E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697687734079590748
Fri Sep 01 18:55:58 +0000 2023;1,69768E+18;-ness ada yang udah jadi alumni? mencari sesama alumni, yuk mutualan;0;1;0;14;in;1,18728E+18;1,69768E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697684740906815905
Fri Sep 01 18:44:55 +0000 2023;1,69768E+18;@viiioooleta @undipmenfess karena kakanya gabisa kami dm, bisa order via wa di bio kami ya kak :D;0;0;0;0;in;1,50119E+18;1,69753E+18;duren_weekend;https://twitter.com/duren_weekend/status/1697681961064828970
Fri Sep 01 18:41:33 +0000 2023;1,69768E+18;@PopiRadayani @undipmenfess frozen ya kak. tp rasanya tetep legit dan manis soalnya durian kami ga pernah lebih dari 3 hari di freezer semenjak dikupas🙌;0;0;0;1;in;1,50119E+18;1,69753E+18;duren_weekend;https://twitter.com/duren_weekend/status/1697681114398425139
Fri Sep 01 18:35:25 +0000 2023;1,69768E+18;-ness sp yg masi melek skripsian cung☝️ semangat yaa &amp  jangan lupa bobo✨;0;3;0;9;in;1,18728E+18;1,69768E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697679569279652006
Fri Sep 01 18:06:27 +0000 2023;1,69767E+18;-ness info kang galon yg jual aqua asli 20-22 rb dong yg dianter ke kos ya. reply nnt aku dm [Titipan];1;5;0;3;in;1,18728E+18;1,69767E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697672280904699996
Fri Sep 01 18:03:47 +0000 2023;1,69767E+18;-ness ada yg masih open jastip ga ya, butuh es aja sih di burjo manapun terserah. kalo msh ada komen ya;0;4;0;0;in;1,18728E+18;1,69767E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697671607635022187
Fri Sep 01 18:02:07 +0000 2023;1,69767E+18;-ness ada ga si yang suka nonton konser tp bingung mau sama siapa,karna temen gaada yg suka genre dangdut apalagi ndx😭;0;12;0;5;in;1,18728E+18;1,69767E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697671188313674248
Fri Sep 01 17:56:20 +0000 2023;1,69767E+18;#NAME?;0;5;0;1;in;1,18728E+18;1,69767E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1697669732382675362
