word,weight
sentuh,-1
anjem,5
jemput,5
nelangsa,-3
remuk redam,-5
jastip,5
segan,-2
gemar,-1
segan,-1
sesal,-4
hayat,-2
absorpsi,-1
linu,-4
kamar,4
oper,1
antar,4
salah benang,-1
sakit,-5
siput,-4
lara,-5
zuhud,-1
cedera,-4
ingkar,-4
maaf,-3
khianat,-4
celaka,-5
tidak,-2
borong,-1
lever,-2
kasihan,-3
tidak mau,-4
saja,-1
pulas,-1
abis,-2
coba,-1
kangen,-3
mau,-1
anda,-1
mari,-1
benar,-1
yaudah,-4
tidak,-3
tidak tahu,-1
bahak,-2
atuh,-1
tarik hati,-1
cedayam,-2
kece,-3
makan,-1
belum,-1
malam,1
cekau,-2
duga,-1
suara,-1
prediksi,-1
bunyi,-1
terka,-1
taksir,-1
antisipasi,-1
nang,-5
rompok,-2
griya,-1
gubuk,-2
anjir,-3
putus jiwa,-5
dari dunia,-5
putus nyawa,-5
buang nyawa,-5
hilang hayat,-4
putus nafas,-4
kojor,-3
putih tulang,-2
buntu,-3
kalang tanah,-2
koit,-5
putus usia,-3
buntet,-2
tamat riwayat,-3
tamat riwayat,-3
hilang nyawa,-5
males,-4
asih,-1
kasih sayang,-1
kagum,-1
dendam berahi,-4
rindu,-3
afeksi,-2
cinta kasih,-1
renjana,-2
pagina,-2
tresna,-1
filantropi,-1
cintrong,-1
cetus,-1
rintis,-2
kronologi,-1
jalan buntu,-4
rintis,-2
jalan bebas hambat,-1
purwa,-2
umur,-3
bangkot,-4
sepuh,-3
usia,-3
lepra,-5
bau tanah,-4
umur,-2
purba,-3
gaco,-2
tambat hati,-2
malam,-1
tayib,-1
tayibah,-1
necis,-1
estetis,-1
baper,-4
perfek,-1
tolong,-2
sayid,-1
radang,-4
didih,-4
ngantuk,-2
sirap hati,-2
rampang,-2
hati,-4
telinga merah,-3
sirap hati,-2
merah telinga,-3
mencak mencak,-5
tidak ada,-3
manjur,-1
mujarab,-1
beber,-2
singkap,-3
tangkis,-3
mending,-3
akibat,-3
satir,-2
nyanyi,-2
sibuk,-2
gara,-4
sedikit,-4
ilang,-5
kepeng,-2
bodo,-5
air,-1
suri,-1
ihh,-5
asasi,-3
nenes,-2
