Tanggal,Link,Nama Akun,Komentar,Tipe
11h ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,_moonknight31,aduduh mas irpan,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,joan,"makin sakit liatnya, karna ketolak unnes 3 kali bjir",Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,retaawww,"coba sekali lg ka, siapa tau rezeki",Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,joan,udah masuk swasta kak😁,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,>.<,w 7x brakhir swasta☺️,Komentar
1d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,Ann,JIR SAMA KAK 😭,Komentar
1d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,Aprillia17,kak sama🥺,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,valaa 🦥,tos nder,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,marbibrahim,cinta sesaat buang-buang uang. Banyakin nonton video timothy😂,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,yorngud,@marbibrahim:cinta sesaat buang-buang uang. Banyakin nonton video timothy😂 [photo],Balasan
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,r4put,actually ☝️🤓,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,patireee😋,[photo],Komentar
1d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,mikasa,mboh unnes mboh nesu aku,Komentar
1d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,"oh i fish, blub blub blub",awokawokawok,Balasan
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,moon girl,WADUHHHH APA INI MIN KO SAKIT BANGET? 😖,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,UNNES,😢,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,acacaaa,jauhkanlah aku dari musibah ini ya Allah,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,UNNES,Aminnnn,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,blackcats🐈‍⬛,kesimpulan: pas ospek jangan jatuh cinta sama anak fik,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,UNNES,ada ini ya,Komentar
1d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,blackcats🐈‍⬛,"ada min, pelet mematikan",Komentar
1d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,val,waduhhhh,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,nasywa sia,IDENYA SIAPA PLS,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,UNNES,Ini pengalaman pribadi mimin 😭,Komentar
1d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,kywa,aku juga ngalamin min😭,Komentar
16h ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,siapa,keknya pengalaman kita semua min😹,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,www,unnes rodo nyindir aku 😔,Balasan
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,🅰️je🆖,wkwk,Komentar
21h ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,siapa,kisah nyata 🗿☝🏻,Komentar
16h ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,Vjestttt,jangan sedih bang nopalll😘,Komentar
15h ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,siapa,ih takotnyeee,Komentar
21h ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,D I K A,"IH APA INI, SEDIH KALI BAH",Komentar
18h ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,vina,klo kita gini gmn y dik🤡,Komentar
18h ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,D I K A,HEI,Komentar
18h ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,vina,gue no komen beneran kalo sampe kek gini☺,Komentar
1d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,repaaa,lebih sakit kmu tolak nes😔,Komentar
1d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,piwa,ehh,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,sendoknyamnyam,"b aja, lebih sakitan aku yg ketolak unnes☺️",Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,Zira Rubbyna🇵🇸,"percayalah, yg begitu hanya legenda, nyari di kampus jg tetep ga nemu",Komentar
1d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,saa,@bluedusk2,Balasan
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,lala,ternyata mitos cinlok waktu pkkmb itu nyata ya min? 😭😭,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,UNNES,Rill Cuyyy,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,bintangg,ga relate tp ikutan galau nes 😔,Komentar
2d ago,https://www.tiktok.com/@unnes_semarang/video/7527627258752683270,UNNES,Semangat ya ada mimin di sini kok tenang 🤗,Komentar
