Tanggal,Waktu,Link,Nama Akun,Komentar,Tipe
2025-02-21,10:42:03,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugzve6jB90re5YAyZRZ4AaABAg,@nnaf-lv3jv,tour campus UPI dong bang,Komentar
2025-02-19,15:38:55,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugz9ejKQmbwOMmJUBg94AaABAg,@bagaskasep1286,dan skrg Unnes menjadi kampus aku😭,Komentar
2025-01-14,13:55:22,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwgUQIlXkceIPNhpAJ4AaABAg,@AliekaJannatur,isi surakarta coba kak,Komentar
2024-12-24,02:55:27,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwFBc_-qWvKwr4G-yB4AaABAg,@alinmhrn,bismillah 2025 jadi maba unnes jalur snbp,Komentar
2024-11-11,16:55:56,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyrfI07Ij3McgfPX7V4AaABAg,@iwanpurnomo-j8v,"Kok sepi bro, emang ente survey hr apa itu....hr libur yeee....ato msh pademi covid ye",Komentar
2024-09-15,16:18:18,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgymTCTrPKFAo3YpkQN4AaABAg,@RonalDinyo,Almamater kebanggaan🎉,Komentar
2024-09-08,05:11:07,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyjwY-s8GCzy9Awv9t4AaABAg,@TitikDariyati-f6k,"Alhamdulillah anak ku sekarang jadi Maba di Unnes 
Semoga ... sukses segala nya",Komentar
2024-08-18,23:46:06,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugyeus7wADLQrcv96IN4AaABAg,@matchacreamz,Bismillah semoga bisa masuk UNNES tahun depan aminn,Komentar
2024-07-31,08:00:44,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyLkmwvhRCyhKJv0FR4AaABAg,@strawberryteamajauy,"Alhamdulillah anakku sekarang semester 5 di UNNES, semoga Allah beri kemudahan dia menyelesaikan pendidikannya. Aamiin",Komentar
2024-07-13,11:05:08,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugwcy_0gkujePAS6jXJ4AaABAg,@PadorUmU,seneng banget gua dan bersyukur jadi maba unnes 🥳,Komentar
2024-06-07,03:16:07,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxtQU1sh2PCBan0ICh4AaABAg,@AbidinBid,Unesa sama unnes beda ya,Komentar
2025-06-10,07:15:47,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxtQU1sh2PCBan0ICh4AaABAg.A4N2O_EdAD3AJB2LtWwlS7,@keretanyaranzamordfrd7479,Iya beda,Balasan
2024-05-30,05:29:01,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwsrGOs-nfdTlJN2kp4AaABAg,@prettybella777,bagus bgt konten campus tour,Komentar
2024-05-08,15:21:01,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxsvJ0pmTwdsEoh7lR4AaABAg,@tubuhkitaberdekatan,unnes itu well-planned banget soal perencanaan lokasi wilayahnya.,Komentar
2024-05-01,07:35:10,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyqadML0CsSS3vy_Nx4AaABAg,@DIAWAN,Alumni mana suara ya ...,Komentar
2024-04-28,14:31:24,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugz1BVbHSHVLsrtMNLh4AaABAg,@agusbejeu642,Bismillah maba unnes ya Allah😭😭,Komentar
2024-04-14,15:07:03,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugyz5uw2rueHUp7jq9R4AaABAg,@hadipratikto5872,Kampus Tour AKPOL donk mas Danang,Komentar
2024-04-04,03:15:57,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzybvWjVOeyCR4--yR4AaABAg,@nantiwinantiwi6432,Puji Tuhan anak sulung kuh lls SNBP d UNNES tahun ini,Komentar
2024-02-26,06:21:48,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwydmfElHbp2NJz3pJ4AaABAg,@vn3ra,"Wiiih keren. Kalo dibandingin sama sekarang, Unnes udah banyak banget perubahannya dari segi infrastruktur. Dari gerbang utama udah ada burung garuda raksasa, renovasi tugu sutera, trotoar, JPO, gedung baru, shuttle, n masi banyak lagi deh...

Semoga makin maju, Ness. Salam Konservasi! ✨🌾💛",Komentar
2024-02-09,07:19:52,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwI-Wic5a1pH6Vdoxh4AaABAg,@potato2024-k7g,bismillah Unnes akuntansi jalur snbp 2024 aamiin,Komentar
2023-12-02,07:35:34,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwYGcon6F6k7NZ8uit4AaABAg,@piscesgurl26,Bismillah semoga tahun 2024 bisa diterima di Unnes jalur SNBP 💗,Komentar
2024-01-16,04:27:57,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwYGcon6F6k7NZ8uit4AaABAg.9xoQdHSjDrs9zbxwVDJgUM,@sazart6198,semangatt,Balasan
2024-03-01,12:34:16,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwYGcon6F6k7NZ8uit4AaABAg.9xoQdHSjDrsA0RhMmMAlUl,@penyegaming7739,"amiinn, kami tunggu kedatangannya ya kak",Balasan
2023-10-12,02:26:07,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwCczOjr90WX8KLLdB4AaABAg,@Manyalin7CEO,Terima kasih,Komentar
2023-09-10,09:04:49,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzMOYM8k-bCBOQ4ESZ4AaABAg,@mohammadaditya2552,Mantap Unnes diliput dgn keren oleh Mas Danang Giri Sadewa. Sukses terus utk liputannya khususnya campus tour. Salam Alumni Unnes 2017 👍🙏😁,Komentar
2023-07-17,02:45:55,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwyOhEp24nmHCiUttV4AaABAg,@itsmemazzam,"Semangat kk Jasmine yg keterima via japres di UNNES tahun 2023, Semoga mjd lulusan terbaik di sana, semangat berkarya dan ber inovasi selama mjd mahasiswi, Berbahagia selalu dan lancar jaya mjd bagian UNNES, See u again for sure 🎉🎉❤🎉🎉",Komentar
2023-07-15,01:10:19,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugz0MDFrwQYFa75_Ktl4AaABAg,@_anitaistiqomah6108,Tour Kampus UNIDA Gontor kak,Komentar
2023-07-05,17:18:06,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxCtA0W2S8g1ekwrUt4AaABAg,@satrioanggito9724,"Bener bener UI cabang semarang 😂🤣, kerenn parahh sii, yang warna kuning emang kampus nya bukan kaleng emang 👍",Komentar
2023-06-21,13:29:11,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyxU1Vr7miR09r0IP14AaABAg,@Jenichan,"kesini mau liat kampus ku, karena kemarin 20juni aku keterima di unnes 😇😇",Komentar
2023-06-21,06:21:12,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwzlcsZ8AgTCZ9nc5d4AaABAg,@FaizMumtaza-br5mi,Kunjungi universitas trunojoyo madura mas danang giri sadewa,Komentar
2023-05-30,05:34:22,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwSfb-6_ntzQivw1Ht4AaABAg,@lisawulandari3279,bismillah maba 2023😭🙏🏻,Komentar
2023-05-28,17:37:31,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzFBzuMYSajbfVBM7B4AaABAg,@gmailstore1531,Bismillahirrahmanirrahim. Bisa yu 20 juni 2023 jadi mahasiswa sini🥹,Komentar
2023-03-26,02:34:25,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgymOjgAfnnStu10PDt4AaABAg,@ahmadkefinsugandy7637,Unnes adalah kampus terbaik... Walaupun tidak mahasiswa Unnes tapi guru² saya di SMP dan SMA itu rata² alumni Unnes. Secara tidak langsung mendapatkan ilmunya dari Unnes. Terimakasih Unnes 😊😊😊,Komentar
2023-03-11,22:57:54,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugzz0am2h0fzu3QqPK94AaABAg,@RihantsTV,Info akreditasi Prodi² di UNNES silakan dicek disini ya gaes https://youtu.be/X65tzUgKfFU,Komentar
2023-03-03,02:42:23,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyoYRRJF-vtW0GsXlF4AaABAg,@am_mughni,Bang campus toor universitas negri malang,Komentar
2023-03-01,14:14:04,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugx25aVkQBRliBySVD54AaABAg,@sahanibelitung-ri5nb,"Mudah mudahan anak saya  ada kuliah di sini. , akan mudah mendapatkan kemudahan dalam meraih kerja yang di cita cita kan, amin . Unes oke, sahani belitung",Komentar
